equipment,date,variable1,variable2
000000,2014-07-17,0.0,0.0
000000,2014-07-18,436.3,4.0
000000,2014-07-19,469.9,3.0
000000,2014-07-20,476.9,4.0
000000,2014-07-21,452.5,3.0
000000,2014-07-22,551.4,4.0
000000,2014-07-23,222.4,2.0
000000,2014-07-24,223.8,1.0
000000,2014-07-25,515.1,4.0
000000,2014-07-26,464.3,4.0
000000,2014-07-27,0.0,0.0
000000,2014-07-28,0.0,0.0
000000,2014-07-29,0.0,0.0
000000,2014-07-30,298.3,2.0
000000,2014-07-31,457.5,4.0
000000,2014-08-01,851.9,7.0
000000,2014-08-02,713.4,4.0
000000,2014-08-03,627.3,5.0
000000,2014-08-04,492.7,5.0
000000,2014-08-05,687.2,4.0
000000,2014-08-06,574.3,4.0
000000,2014-08-07,505.4,4.0
000000,2014-08-08,448.4,4.0
000000,2014-08-09,694.2,5.0
000000,2014-08-10,0.0,0.0
000000,2014-08-11,118.2,1.0
000000,2014-08-12,161.5,1.0
000000,2014-08-13,516.9,4.0
000000,2014-08-14,398.9,4.0
000000,2014-08-15,507.4,4.0
000000,2014-08-16,816.5,5.0
000000,2014-08-17,608.3,5.0
000000,2014-08-18,676.0,5.0
000000,2014-08-19,585.5,4.0
000000,2014-08-20,641.7,5.0
000000,2014-08-21,600.0,3.0
000000,2014-08-22,612.5,4.0
000000,2014-08-23,366.3,2.0
000000,2014-08-24,201.1,2.0
000000,2014-08-25,0.0,0.0
000000,2014-08-26,0.0999999999985,0.0
000000,2014-08-27,401.1,3.0
000000,2014-08-28,116.0,1.0
000000,2014-08-29,988.4,8.0
000000,2014-08-30,571.9,5.0
000000,2014-08-31,499.1,4.0
000000,2014-09-01,598.6,5.0
000000,2014-09-02,566.4,4.0
000000,2014-09-03,513.2,4.0
000000,2014-09-04,491.1,4.0
000000,2014-09-05,639.2,5.0
000000,2014-09-06,4.3,0.0
000000,2014-09-07,0.0,0.0
000000,2014-09-08,322.6,2.0
000000,2014-09-09,440.3,3.0
000000,2014-09-10,430.1,4.0
000000,2014-09-11,793.6,5.0
000000,2014-09-12,631.0,6.0
000000,2014-09-13,690.5,4.0
000000,2014-09-14,476.5,3.0
000000,2014-09-15,875.8,6.0
000000,2014-09-16,842.8,6.0
000000,2014-09-17,294.5,2.0
